Round,Micro mAP,Macro mAP,Pruning Mask Round,Pruning Rate
1,0.3257,,,
1,,0.2416,,
2,0.3951,,,
2,,0.2904,,
3,0.3315,,,
3,,0.2611,,
4,0.2895,,4,0.9
4,,0.1345,4,0.9
5,0.2926,,4,0.9
5,,0.1345,4,0.9
6,0.293,,4,0.9
6,,0.1345,4,0.9
7,0.2827,,4,0.9
7,,0.1345,4,0.9
8,0.2827,,4,0.9
8,,0.1345,4,0.9
9,0.2827,,4,0.9
9,,0.1345,4,0.9
10,0.2827,,4,0.9
10,,0.1345,4,0.9
11,0.2827,,4,0.9
11,,0.1345,4,0.9
12,0.2827,,4,0.9
12,,0.1345,4,0.9
13,0.2827,,4,0.9
13,,0.1345,4,0.9
14,0.2855,,4,0.9
14,,0.1345,4,0.9
15,0.2824,,4,0.9
15,,0.1345,4,0.9
16,0.2824,,4,0.9
16,,0.1345,4,0.9
17,0.2824,,4,0.9
17,,0.1345,4,0.9
18,0.2824,,4,0.9
18,,0.1345,4,0.9
19,0.2824,,4,0.9
19,,0.1345,4,0.9
20,0.2824,,4,0.9
20,,0.1345,4,0.9
21,0.2824,,4,0.9
21,,0.1345,4,0.9
22,0.2927,,4,0.9
22,,0.1345,4,0.9
23,0.2927,,4,0.9
23,,0.1345,4,0.9
24,0.2927,,4,0.9
24,,0.1345,4,0.9
25,0.2927,,4,0.9
25,,0.1345,4,0.9
26,0.2824,,4,0.9
26,,0.1345,4,0.9
27,0.2907,,4,0.9
27,,0.1345,4,0.9
28,0.2804,,4,0.9
28,,0.1345,4,0.9
29,0.2907,,4,0.9
29,,0.1345,4,0.9
30,0.2907,,4,0.9
30,,0.1345,4,0.9
31,0.2907,,4,0.9
31,,0.1345,4,0.9
32,0.2756,,4,0.9
32,,0.1345,4,0.9
33,0.2859,,4,0.9
33,,0.1345,4,0.9
34,0.2907,,4,0.9
34,,0.1345,4,0.9
35,0.2756,,4,0.9
35,,0.1345,4,0.9
36,0.2756,,4,0.9
36,,0.1345,4,0.9
37,0.2756,,4,0.9
37,,0.1345,4,0.9
38,0.2756,,4,0.9
38,,0.1345,4,0.9
39,0.2756,,4,0.9
39,,0.1345,4,0.9
40,0.2756,,4,0.9
40,,0.1345,4,0.9
