Round,Micro mAP,Macro mAP,Pruning Mask Round,Pruning Rate
1,0.3644,,,
1,,0.2591,,
2,0.4259,,,
2,,0.3101,,
3,0.3325,,,
3,,0.2799,,
4,0.4093,,4,0.3
4,,0.3229,4,0.3
5,0.3917,,4,0.3
5,,0.3207,4,0.3
6,0.5485,,4,0.3
6,,0.336,4,0.3
7,0.5079,,4,0.3
7,,0.3458,4,0.3
8,0.6888,,4,0.3
8,,0.3963,4,0.3
9,0.5036,,4,0.3
9,,0.3633,4,0.3
10,0.6986,,4,0.3
10,,0.3905,4,0.3
11,0.5206,,4,0.3
11,,0.3841,4,0.3
12,0.6868,,4,0.3
12,,0.3916,4,0.3
13,0.5739,,4,0.3
13,,0.3772,4,0.3
14,0.6873,,4,0.3
14,,0.4057,4,0.3
15,0.5351,,4,0.3
15,,0.3565,4,0.3
16,0.6606,,4,0.3
16,,0.4183,4,0.3
17,0.676,,4,0.3
17,,0.384,4,0.3
18,0.7111,,4,0.3
18,,0.4226,4,0.3
19,0.5999,,4,0.3
19,,0.3961,4,0.3
20,0.7166,,4,0.3
20,,0.4188,4,0.3
21,0.5393,,4,0.3
21,,0.3958,4,0.3
22,0.7198,,4,0.3
22,,0.4245,4,0.3
23,0.5992,,4,0.3
23,,0.3952,4,0.3
24,0.726,,4,0.3
24,,0.435,4,0.3
25,0.6515,,4,0.3
25,,0.3945,4,0.3
26,0.6781,,4,0.3
26,,0.4107,4,0.3
27,0.6781,,4,0.3
27,,0.4125,4,0.3
28,0.6223,,4,0.3
28,,0.3885,4,0.3
29,0.5995,,4,0.3
29,,0.3838,4,0.3
30,0.6957,,4,0.3
30,,0.4366,4,0.3
31,0.6443,,4,0.3
31,,0.4001,4,0.3
32,0.6897,,4,0.3
32,,0.4452,4,0.3
33,0.6191,,4,0.3
33,,0.4018,4,0.3
34,0.6711,,4,0.3
34,,0.4388,4,0.3
35,0.6253,,4,0.3
35,,0.3886,4,0.3
36,0.6705,,4,0.3
36,,0.4245,4,0.3
37,0.5781,,4,0.3
37,,0.3859,4,0.3
38,0.6408,,4,0.3
38,,0.4134,4,0.3
39,0.6353,,4,0.3
39,,0.4049,4,0.3
40,0.7001,,4,0.3
40,,0.4139,4,0.3
